Resident_ID,First_Name,Last_Name,DoB,Income,Gender,Tax,University_University_ID,Complaints_Complaint_ID,Public_Service_Public_Service_ID,Event_Event_ID
R1001,Amii,Cuddehy,2019-03-14,,O,,17,,1382.0,100021.0
R1002,Rooney,Stanion,2017-03-24,,O,,15,,1351.0,100435.0
R1003,Olenka,Sowrah,2004-03-31,57305952.0,M,8595892.8,30,,1488.0,100157.0
R1004,Helsa,Kitchinghan,2024-06-24,,O,,12,100000030.0,,100255.0
R1005,Sawyer,Baden,2015-06-09,,O,,28,100000118.0,1563.0,100106.0
R1006,April,Champkins,2001-01-17,76214551.0,F,11432182.65,30,100000004.0,1507.0,100708.0
R1007,Rodney,Hintzer,2024-09-21,,O,,21,100000314.0,1294.0,
R1008,Cornelius,Thurby,2018-05-29,,M,,19,,,100344.0
R1009,Budd,Pleaden,2011-09-07,,F,,16,100000214.0,1370.0,100294.0
R1010,Mariska,Reavey,2012-04-09,,F,,18,,1462.0,100446.0
R1011,Colline,Salmond,1975-10-29,52699500.0,F,7904925.0,28,,1365.0,100665.0
R1012,Anastassia,Rizzi,1996-10-23,78433766.0,O,11765064.9,23,100000482.0,1578.0,100128.0
R1013,Uta,Steanyng,2017-06-23,,F,,24,100000272.0,1334.0,100090.0
R1014,Marquita,Whiffen,2016-09-16,,,,21,,1517.0,100232.0
R1015,Zerk,Mulrooney,1996-11-15,93346390.0,M,14001958.5,30,100000318.0,1379.0,100109.0
R1016,Lars,MacPhail,2004-03-28,30664511.0,F,4599676.65,15,100000324.0,1346.0,100041.0
R1017,Pat,McKerron,2024-02-20,,M,,18,,1581.0,100192.0
R1018,Garnet,Readwood,2011-04-24,,O,,13,,1671.0,
R1019,Jeth,Tritten,2001-07-23,83364892.0,M,12504733.8,29,100000189.0,1350.0,100204.0
R1020,Eileen,Pauletti,2022-03-26,,F,,27,,1024.0,100205.0
R1021,Monty,Foro,1976-12-08,29410506.0,O,4411575.9,28,,1698.0,100383.0
R1022,Kakalina,Charlwood,2005-10-10,5013176.0,O,751976.4,13,,1594.0,100567.0
R1023,Britteny,Dempsey,2008-06-26,49301497.0,,7395224.55,29,100000659.0,1091.0,100614.0
R1024,Caralie,Killiner,1983-06-20,47857018.0,O,7178552.7,17,,1725.0,100218.0
R1025,Shannon,Futter,1983-07-05,37603503.0,O,5640525.45,18,,,100580.0
R1026,Benjie,Kester,2000-11-23,35016275.0,M,5252441.25,22,,1009.0,100680.0
R1027,Dougie,Abrahart,2017-11-16,,M,,15,,,100370.0
R1028,Heather,Bellwood,1997-06-11,62980958.0,O,9447143.7,19,100000329.0,1062.0,100323.0
R1029,Orelia,Tooting,2014-11-04,,M,,21,,1147.0,100358.0
R1030,Leelah,Ellingworth,1995-10-22,88243478.0,O,13236521.7,25,100000111.0,1262.0,100422.0
R1031,Zacharias,Everex,1978-09-21,75189646.0,O,11278446.9,26,100000369.0,1227.0,100341.0
R1032,Kore,Windross,2021-10-25,,O,,19,100000288.0,1593.0,
R1033,Vivian,Seale,1999-08-10,10058681.0,F,1508802.15,11,100000270.0,1269.0,100194.0
R1034,Gaylor,Berntsson,2010-12-12,,F,,15,100000202.0,1369.0,100229.0
R1035,Tobe,Caccavale,2015-12-27,,F,,23,,1395.0,
R1036,Euell,Dugget,2011-04-14,,M,,18,,1302.0,100657.0
R1037,Masha,Propper,2001-01-15,20027112.0,O,3004066.8,13,100000647.0,1631.0,100665.0
R1038,Marthe,Batch,1996-08-18,32470060.0,F,4870509.0,25,,1040.0,100431.0
R1039,Sloane,Ivanichev,2013-06-24,,O,,19,,1601.0,100272.0
